name,type,city,district,address_clean,latitude,longitude,hours,geocode_status
მეამას სივრცე • თბილისი,Space,Tbilisi,Mtatsminda/Krtsanisi,აღმაშენებლის გამზირი მე-16 კმ. (თბილისი მოლი),41.6934591,44.8014495,სამუშაო საათები: 10:00 - 22:00,city_only
მეამას სივრცე • თბილისი,Space,Tbilisi,Mtatsminda/Krtsanisi,პეტრე ქავთარაძის N1 (სითი მოლი),41.6934591,44.8014495,სამუშაო საათები: 10:00-22:00,city_only
მეამას სივრცე • თბილისი,Space,Tbilisi,Mtatsminda/Krtsanisi,ალ.თვალჭრელიძის  N2 (ისთ ფოინთი),41.6934591,44.8014495,სამუშაო საათები: 10:00-22:00,city_only
მეამა ქოლექთი • თბილისი,Collect,Tbilisi,Saburtalo,აკაკი ბელიაშვილის N1,41.7862863,44.7797599,ღიაა 22:00 სთ_მდე,success
მეამა ქოლექთი • თბილისი,Collect,Tbilisi,Didube,ირაკლი აბაშიძის 21/23,41.7079357,44.7629754,ღიაა 22:00 სთ_მდე,success
მეამა ქოლექთი  •  თბილისი,Collect,Tbilisi,Mtatsminda/Krtsanisi,ალ.თვარჭრელიძის N2 (ისთ ფოინთი),41.6934591,44.8014495,ღიაა 22:00 სთ_მდე,city_only
მეამა ქოლექთი •  თბილისი,Collect,Tbilisi,Didube,კუს ტბა,41.7003914,44.7544551,ღიაა 12:00-19:00 სთ_მდე,success
მეამა ქოლექთი • რუსთავი,Collect,Rustavi,Rustavi,მერაბ კოსტავას N14,41.5422714,45.0135078,ღიაა 21:00 სთ_მდე,success
მეამა ქოლექთი • თბილისი,Collect,Tbilisi,Mtatsminda/Krtsanisi,ანა პოლიტკოვსკაიას N1  (შენი სახლი ჯიქიაზე),41.6934591,44.8014495,ღიაა 22:00 სთ_მდე,city_only
მეამა ქოლექთი • თბილისი,Collect,Tbilisi,Chughureti/Central,ზვიად გამსახურდიას სანაპირო N108,41.7105245,44.7890832,ღიაა 24/7,success
მეამა ქოლექთი • თავისუფალი უნივერსიტეტი,Collect,Tbilisi,Saburtalo,დავით აღმაშენებლის N240,41.8058782,44.7682722,ღიაა 20:00 სთ_მდე,success
მეამა ქოლექთი • თბილისი,Collect,Tbilisi,Didube,ზაქარია ფალიაშვილის N36,41.709319,44.7602375,ღიაა 22:00 სთ_მდე,success
მეამა ქოლექთი  • თბილისი,Collect,Tbilisi,Mtatsminda/Krtsanisi,ირაკლი აბაშიძის N 65-67,41.6934591,44.8014495,ღიაა 22:00 სთ_მდე,city_only
მეამა ქოლექთი • თბილისი,Collect,Tbilisi,Mtatsminda/Krtsanisi,გივი კარტოზიას N8 (მ2-ის ეზოში),41.6934591,44.8014495,ღიაა 22:00 სთ_მდე,city_only
მეამა ქოლექთ • თბილისი,Collect,Tbilisi,Mtatsminda/Krtsanisi,ბახტრიონის  N1 (ბუკიას ბაღი),41.6934591,44.8014495,ღიაა 22:00 სთ_მდე,city_only
მეამა ქოლექთი • ბათუმი,Collect,Batumi,Batumi,მემედ აბაშიძის N62,41.6509502,41.6360085,ღიაა 22:00 სთ_მდე,city_only
მეამა ქოლექთი • კლდიაშვილი,Collect,Tbilisi,Didube,კლდიაშვილის ქუჩა#3,41.7053194,44.7698466,ღიაა 22:30 სთ_მდე,success
მეამა ქოლექთი • თბილისი,Collect,Tbilisi,Saburtalo,დავით აღმაშენებლის N12,41.7836546,44.7689875,ღიაა 24/7,success
მეამა ქოლექთი • ჩიტაია,Collect,Tbilisi,Chughureti/Central,ჩიტაიას 39 ა,41.7162209,44.8025925,ღიაა 22:00 სთ_მდე,success
მეამა ქოლექთი • მარჯანიშვილი,Collect,Tbilisi,Chughureti/Central,მარჯანიშვილის 33,41.7104003,44.7998134,ღიაა 22:30 სთ_მდე,success
მეამა ქოლექთი • მელიქიშვილი,Collect,Tbilisi,Mtatsminda/Krtsanisi,მელიქიშვილის 11,41.6976382,44.8668478,ღიაა 22:30 სთ_მდე,success
მეამა ქოლექთი • ნატახტარი,Collect,Natakhtari,Natakhtari,"ნატახტარი, kfc-სთან",41.9211953,44.7299276,ღიაა 21:00 სთ_მდე,city_only
მეამა ქოლექთი • თბილისი,Collect,Tbilisi,Vake,ლისის ტბა,41.7439039,44.7346048,ღიაა 22:00 სთ_მდე,success
მეამა ქოლექთი • რუსთავი,Collect,Rustavi,Rustavi,"რუსთავი, კოსტავას 20",41.5466778,45.014959,ღიაა 00:00 სთ_მდე,city_only
მეამა ქოლექთი • ყაზბეგი,Collect,Tbilisi,Mtatsminda/Krtsanisi,ალ.ყაზბეგის 41,41.6934591,44.8014495,ღიაა 21:00 სთ_მდე,city_only
მეამა ქოლექთი • თელავი,Collect,Telavi,Telavi,"თელავი, ნადიკვარის ქუჩა 16 ა",41.9197221,45.4703169,ღიაა 21:00 სთ_მდე,city_only
მეამა ქოლექთი • გორი,Collect,Gori,Gori,"გორი, ამილახვარია ქ. #1",41.9818469,44.1117811,ღიაა 21:00 სთ_მდე,city_only
მეამა ქოლექთი • თბილისი,Collect,Tbilisi,Chughureti/Central,დედაენის ბაღი,41.7006436,44.8045466,ღიაა 22:00 სთ_მდე,success
მეამა ქოლექთი • ნაფარეული,Collect,Tbilisi,Didube,ნაფარეულის ქუჩა 4,41.7088744,44.7771165,ღიაა 21:30 სთ_მდე,success
მეამა ქოლექთი• ქუთაისი,Collect,Kutaisi,Kutaisi,"ქუთაისი, თამარ მეფის 37",42.2596791,42.6633738,ღიაა 23:00 სთ_მდე,city_only
