name,name_raw,address_raw,address_clean,address_for_geocoding,type,city,hours
მეამას სივრცე • თბილისი,მეამას სივრცე • თბილისი,აღმაშენებლის გამზირი მე-16 კმ. (თბილისი მოლი),აღმაშენებლის გამზირი მე-16 კმ. (თბილისი მოლი),"აღმაშენებლის გამზირი მე-16 კმ. (თბილისი მოლი), Tbilisi, Georgia",Space,Tbilisi,სამუშაო საათები: 10:00 - 22:00
მეამას სივრცე • თბილისი,მეამას სივრცე • თბილისი,პეტრე ქავთარაძის N1 (სითი მოლი),პეტრე ქავთარაძის N1 (სითი მოლი),"პეტრე ქავთარაძის N1 (სითი მოლი), Tbilisi, Georgia",Space,Tbilisi,სამუშაო საათები: 10:00-22:00
მეამას სივრცე • თბილისი,მეამას სივრცე • თბილისი,ალ.თვალჭრელიძის  N2 (ისთ ფოინთი),ალ.თვალჭრელიძის  N2 (ისთ ფოინთი),"ალ.თვალჭრელიძის  N2 (ისთ ფოინთი), Tbilisi, Georgia",Space,Tbilisi,სამუშაო საათები: 10:00-22:00
მეამა ქოლექთი • თბილისი,მეამა ქოლექთი • თბილისი,აკაკი ბელიაშვილის N1,აკაკი ბელიაშვილის N1,"აკაკი ბელიაშვილის N1, Tbilisi, Georgia",Collect,Tbilisi,ღიაა 22:00 სთ_მდე
მეამა ქოლექთი • თბილისი,მეამა ქოლექთი • თბილისი,ირაკლი აბაშიძის 21/23,ირაკლი აბაშიძის 21/23,"ირაკლი აბაშიძის 21/23, Tbilisi, Georgia",Collect,Tbilisi,ღიაა 22:00 სთ_მდე
მეამა ქოლექთი  •  თბილისი,მეამა ქოლექთი  •  თბილისი,ალ.თვარჭრელიძის N2 (ისთ ფოინთი),ალ.თვარჭრელიძის N2 (ისთ ფოინთი),"ალ.თვარჭრელიძის N2 (ისთ ფოინთი), Tbilisi, Georgia",Collect,Tbilisi,ღიაა 22:00 სთ_მდე
მეამა ქოლექთი •  თბილისი,მეამა ქოლექთი •  თბილისი,კუს ტბა,კუს ტბა,"კუს ტბა, Tbilisi, Georgia",Collect,Tbilisi,ღიაა 12:00-19:00 სთ_მდე
მეამა ქოლექთი • რუსთავი,მეამა ქოლექთი • რუსთავი,მერაბ კოსტავას N14,მერაბ კოსტავას N14,"მერაბ კოსტავას N14, Rustavi, Georgia",Collect,Rustavi,ღიაა 21:00 სთ_მდე
მეამა ქოლექთი • თბილისი,მეამა ქოლექთი • თბილისი,ანა პოლიტკოვსკაიას N1  (შენი სახლი ჯიქიაზე),ანა პოლიტკოვსკაიას N1  (შენი სახლი ჯიქიაზე),"ანა პოლიტკოვსკაიას N1  (შენი სახლი ჯიქიაზე), Tbilisi, Georgia",Collect,Tbilisi,ღიაა 22:00 სთ_მდე
მეამა ქოლექთი • თბილისი,მეამა ქოლექთი • თბილისი,ზვიად გამსახურდიას სანაპირო N108,ზვიად გამსახურდიას სანაპირო N108,"ზვიად გამსახურდიას სანაპირო N108, Tbilisi, Georgia",Collect,Tbilisi,ღიაა 24/7
